GENE,RNA_ESC_1,RNA_ESC_2,RNA_MES_1,RNA_MES_2,RNA_CP_1,RNA_CP_2,RNA_CM_1,RNA_CM_2
Zbtb25,6.58589739807513,6.15399776525202,6.49100770463448,7.15197412765546,5.10403731972048,4.53478107727399,6.70386388714574,7.10079105591181
Zbtb26,1.91089824596021,2.06683869538572,2.49855500226463,2.5827193067856,3.06794821887263,2.59065508885673,1.75825452504577,1.50076407044652
Zbtb3,2.4824779567027,2.00639073114069,2.03327540435837,2.55478203684813,1.54066151132042,1.76711619967518,0.509329158716486,1.33980478004434
Zbtb32,11.4559833934353,10.865947947679,0.356168617913709,0.538500392987977,0.218900638178859,0.300199358961899,0.165184693492212,0.140431325854654
Zbtb33,3.12239410742977,3.40952166228807,7.62795036173696,6.52028443429507,5.33265802037535,5.65363382208808,3.83538181407553,3.89112941109081
Zbtb34,5.26753007542031,6.20310640033167,4.49627813529926,3.97091701483864,5.29784223067474,6.60691160298544,7.30618969366768,5.88909677008777
Zbtb37,1.31420468197205,1.12352768553415,1.78417038618597,1.57356067710884,2.03438536841853,1.79161007953878,2.22109458116889,2.81387410659979
Zbtb38,5.81228780523579,5.2348121114937,2.27926505045734,1.92120572785138,2.23641679228525,3.34583128924007,5.81792906867927,9.38617226337939
Zbtb39,5.2007802656713,5.56255908120327,16.4747414251157,13.3343169651177,11.9246976867443,13.9527566654009,8.91078859977571,8.48633714624687
Zbtb4,0.290544154565431,0.297229126681149,0.903635563142944,1.01202192069658,2.01653258653398,2.05081189997892,7.34975806663284,12.0968388389124
Zbtb40,3.10392471792473,3.23500582423755,6.09286294114238,5.49943775922023,3.64561100897795,2.89149448287197,4.88791692639208,3.38493777718764
Zbtb41,2.0271239952158,1.96834192734844,2.25166333116908,2.52173856598352,2.71786791525049,2.57396260608033,3.22020411761533,4.32432589962084
Zbtb42,0.75440931161803,0.834185154352647,5.46234447369674,5.11250229340512,3.37213506467127,5.50085625507475,3.65783069218984,2.60240081358455
Zbtb43,8.45513642663579,8.33086351750407,5.11136709829999,4.54653340297025,4.55105716414642,4.81026944449994,8.55312476851248,6.78665509282902
Zbtb44,10.4696100341873,10.0219216865424,4.91223755299865,4.7390930726317,3.74637031649092,3.16169571954174,5.69594449732098,5.37276974884966
Zbtb45,20.6938250664422,23.3348201086207,13.4154061026848,11.6630972067838,7.17369082021133,7.41041715185439,4.86095975659674,5.85726635920584
Zbtb46,1.3366393753697,1.22164762573953,2.62866648306515,2.95725658226826,4.97179880032884,4.05433665522792,4.4360562482979,2.87528295775444
Zbtb48,8.09872960501997,8.66594878614468,8.45936766833473,9.10745466928708,6.24743581455531,7.01523947634512,6.61570902324044,4.1987706956767
Zbtb49,2.51742592829976,2.40891395453214,3.41766914416202,3.08521439035872,2.49289368420892,2.83168635388051,2.65751661603995,2.26562694510277
Zbtb5,2.80874460568154,2.58813199539564,7.83817195519779,7.23957174182944,7.63518493788863,8.96011461102028,6.41624755657273,7.23096054890223
Zbtb6,2.6265447840988,3.0019345937944,2.97981975180122,3.48105573776627,2.18387778359531,2.26986461274609,1.16969183336318,2.43827179664729
Zbtb7a,6.28637207226576,6.68740641470887,6.8085843954382,6.45964946567236,5.91786447505451,6.01846306325472,11.3451329806496,10.9289052350286
Zbtb7b,3.48444017203928,3.80652787380712,3.44464767022533,2.88939784199213,3.71938125338797,3.47099992836473,14.987737834403,10.5583525272893
Zbtb7c,1.02750453704868,0.837371131623272,2.51090088574447,1.40603515438884,0.471531956521175,0.406164615640922,0.277264603885101,0.275001722608055
Zbtb8a,31.3902866553911,30.0372291835439,2.53664280366987,3.50282949663444,1.70712299508429,1.98253522573945,1.00838569859214,1.74027110741147
Zbtb8b,1.97600872526344,1.8496236921287,1.11776609674486,1.35198319468241,0.776812654759944,1.09101152230554,0.751964992207443,2.34596765537759
Zbtb8os,10.6198770871093,9.8506404877413,5.26154771972118,6.02438168071452,5.18765896010251,5.18867588831135,4.20849785482095,5.55299889226081
Zbtb9,9.46957629661645,8.35709837928035,9.82981887837638,9.53949061835921,7.32081693834024,6.62935349666792,5.44160998827985,6.74249434219718
Zc2hc1a,4.41141132669072,4.10031414533856,5.66931741969981,5.88395661474441,5.52120034216522,5.90890361391803,8.23908420619887,7.42894666377788
Zc2hc1c,0.380985171791603,0.385903335444315,0.454150747741376,0.419614596722559,0.360530376719447,0.568376722289126,0.992956182481153,0.795840177757298
Zc3h10,13.5118153879582,13.0434804733455,12.7326882348637,11.0121531939156,10.2212159569017,11.6826585628625,8.98647740062814,10.9340125109018
Zc3h11a,40.1896871891953,39.7517630579844,45.865644771564,44.7130121003467,34.693543316733,37.0833368018633,41.1792958149912,38.3960900587703
Zc3h12a,3.08835017880747,4.03786563326626,1.26992206413885,1.01588755064577,1.33798625368147,1.37154767891295,2.98089597377619,2.51149285614927
Zc3h12b,0.218423299808425,0.232368060562654,1.71814411761204,1.56477709443753,0.812077303887153,0.986372930533807,0.769686198241459,0.914709827630325
Zc3h12c,0.699029605600981,0.699221792474486,0.702264323420829,0.739732552823363,1.9422471654125,2.0476841134964,2.23838607219881,2.11534800118088
Zc3h12d,0.559650651012425,0.44984291616865,0.46968485589769,0.515191250641442,0.624031275067358,0.622395423723396,0.911597424575794,0.664501271314441
Zc3h13,22.8744121153573,22.8154193411937,22.1306222887823,18.8029662768138,17.2991422219194,19.775242665171,14.3137675607584,18.7966703239348
Zc3h14,21.9489114491546,21.3095260102953,30.5276898001666,32.9770355980789,30.2114860374943,28.7530377236893,43.5141083879332,30.4563794336522
Zc3h15,81.7892214950433,75.3022006605149,77.5215882631629,75.6688657467624,48.671920949203,49.5512550457752,43.2125034454364,40.4964004580404
Zc3h18,58.5541159938824,60.0781382425185,67.5656348290708,59.0074929446908,35.8569183632454,34.7138764160359,18.6836429315972,22.6439992841343
Zc3h3,10.5929622925551,11.566672864061,11.382884409537,8.38308093807452,7.79231022130139,9.60972339270744,14.5177452156412,10.2317557233317
Zc3h4,27.3937815119471,28.7315454300904,42.1610407600779,34.1608683856193,28.9357585345296,29.1778027505736,11.3368949529633,13.0791322222713
Zc3h6,0.940388204452688,0.953358191519194,0.954631153739933,0.927441685780758,1.89798675538548,2.07279452343357,3.56631314744969,4.42604345563875
Zc3h7a,9.12926448067748,8.45012155576317,6.31528511013685,7.81151891022842,10.9214484142137,11.0696059724978,12.6524524878168,10.0066962157195
Zc3h7b,19.1176783798674,20.1089999456257,45.8663965428397,36.6908315227608,36.5401349873717,43.5325225245351,37.1368051515639,34.3379725940348
Zc3h8,11.534978821532,12.2127597641943,4.04127506477712,4.87353737921155,3.79217067591758,3.78222978393895,2.26633881366674,3.01609206869073
